no,ulasan,GT
2701,"
Coworking space yang nyaman banget, tenang dan sepi, ruangannya juga ber ac, wifi kenceng",D
2702,"
Tempat yang nyaman",D
2703,"
Nyaman",D
2704,"
Mantapppp sekali",D
2705,"
Coworking gokil yang sering banget ada acara, tempat asik, deket alun-alun. Kerja bisa sambil foto2. Apalagi ada yang jual siomay enak disitu. Mantull.",D
2706,"
Siiiiip bisa",D
2707,"
Tempatnya nyaman",D
2708,"
Enak tempatnya buat acara2 semacam workshop",D
2709,"
Cocok buat acara workshop dan jugak ada coworking space nya",D
2710,"
Banyak ilmu yg di amalkan oleh kakak yang ada dilo. Semoga ilmu yg kakak amalkan pada kita bermanfaat. Amiiiin",D
2711,"
Tempat menerima inspirasi kreatif kita",D
2712,"
Mantap cuman snacknya cuman dua ðŸ˜‚ðŸ˜‚",TD
2713,"
Digital Lounge, tempat diadakannya acara acara Kelas Kreator TVOne",N
2714,"
Good place sayangnya wifi agak lemot",TD
2715,"
Space ternyaman",D
2716,"
Ada grup komunitasnya, biar tahu banyak informasi dan gimana cara pakai ruang meetingnya. Ruangannya bersih, lokasinya cukup dekat sama stasiun, ada banyak penjual makanan dan minuman juga di halamannya, pas di depan JPO. Tempat parkirnya juga luas.",D
2717,"
Tempat meetup",N
2718,"
sipp pernah ngisi acara disini",N
2719,"
Cozy buat kerja",D
2720,"
Murah babget, wifi kenceng, pelayanan ok, kursinya lucu.",D
